date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02,172.26,172.3,169.26,170.16,25048048,40.7745097432212,40.7839778750552,40.0643998556694,40.277432821935,100192192,0.0,1.0
2018-01-03,172.23,174.55,171.96,172.53,28819653,40.7674086443457,41.316560290719,40.703498754466,40.8384196331008,115278612,0.0,1.0
2018-01-04,173.03,173.47,172.08,172.54,22211345,40.9567712810261,41.0609207312004,40.7319031499681,40.8407866660593,88845380,0.0,1.0
2018-01-05,175.0,175.37,173.05,173.44,23016177,41.4230767738518,41.5106569933165,40.9615053469431,41.0538196323249,92064708,0.0,1.0
2018-01-08,174.35,175.61,173.93,174.35,20134092,41.2692196315489,41.5674657843206,41.1698042472917,41.2692196315489,80536368,0.0,1.0
2018-01-09,174.33,175.06,173.41,174.55,21262614,41.2644855656319,41.4372789716028,41.0467185334494,41.316560290719,85050456,0.0,1.0
2018-01-10,174.29,174.3,173.0,173.16,23589129,41.2550174337979,41.2573844667564,40.9496701821506,40.9875427094867,94356516,0.0,1.0
2018-01-11,175.28,175.49,174.49,174.59,17523256,41.4893536966899,41.5390613888186,41.302358092968,41.326028422553,70093024,0.0,1.0
2018-01-12,177.09,177.36,175.65,176.18,25039531,41.9177866621795,41.9816965520591,41.5769339161547,41.7023866629555,100158124,0.0,1.0
2018-01-16,176.19,179.39,176.14,177.9,29159005,41.704753695914,42.4622042426358,41.6929185311214,42.1095163318185,116636020,0.0,1.0
2018-01-17,179.1,179.25,175.07,176.15,32752734,42.3935602868392,42.4290657812167,41.4396460045613,41.6952855640799,131010936,0.0,1.0
2018-01-18,179.26,180.1,178.25,179.37,30234512,42.4314328141752,42.6302635826897,42.1923624853662,42.4574701767188,120938048,0.0,1.0
2018-01-19,178.46,179.58,177.41,178.61,30827809,42.2420701774948,42.5071778688474,41.9935317168517,42.2775756718724,123311236,0.0,1.0
2018-01-22,177.0,177.78,176.6,177.3,26023683,41.8964833655529,42.0811119363164,41.8018020472127,41.9674943543081,104094732,0.0,1.0
2018-01-23,177.04,179.44,176.82,177.3,31702531,41.905951497387,42.4740394074284,41.8538767722998,41.9674943543081,126810124,0.0,1.0
2018-01-24,174.22,177.3,173.2,177.25,50562257,41.2384482030883,41.9674943543081,40.9970108413207,41.9556591895156,202249028,0.0,1.0
2018-01-25,171.11,174.95,170.53,174.51,39661804,40.502300952993,41.4112416090592,40.3650130413997,41.307092158885,158647216,0.0,1.0
2018-01-26,171.51,172.0,170.06,172.0,37121805,40.5969822713332,40.7129668863,40.2537624923499,40.7129668863,148487220,0.0,1.0
2018-01-29,167.96,170.16,167.07,170.16,48434424,39.7566855710637,40.277432821935,39.5460196377567,40.277432821935,193737696,0.0,1.0
2018-01-30,166.97,167.37,164.7,165.53,45137026,39.5223493081716,39.6170306265118,38.9850328265908,39.1814965621468,180548104,0.0,1.0
2018-01-31,167.43,168.44,166.5,166.87,30984099,39.6312328242629,39.870303153072,39.4110987591218,39.4986789785865,123936396,0.0,1.0
2018-02-01,167.78,168.62,166.76,167.17,38099665,39.7140789778106,39.9129097463251,39.472641616043,39.5696899673417,152398660,0.0,1.0
2018-02-02,160.5,166.8,160.1,166.0,85436075,37.9908789840183,39.482109747877,37.8961976656781,39.2927471111965,341744300,0.0,1.0
2018-02-05,156.49,163.88,156.0,159.1,66090446,37.0416987676575,38.7909361239933,36.9257141526907,37.6594943698275,264361784,0.0,1.0
2018-02-06,163.03,163.72,154.0,154.83,66625484,38.5897383225203,38.7530635966572,36.4523075609896,36.6487712965455,266501936,0.0,1.0
2018-02-07,159.54,163.4,159.07,163.09,50852130,37.7636438200018,38.677318541985,37.652393270952,38.6039405202714,203408520,0.0,1.0
2018-02-08,155.15,161.0,155.03,160.29,49594129,36.7245163512177,38.1092306319436,36.6961119557157,37.9411712918897,198376516,0.0,1.0
2018-02-09,156.41,157.89,150.24,157.07,66723743,37.1718855803753,37.5236175070997,35.7055436966664,37.3287390071578,266894972,0.63,1.0
2018-02-12,162.71,163.89,157.51,158.5,60560145,38.6691228360263,38.9495577505768,37.4333079583461,37.6685880985198,242240580,0.0,1.0
2018-02-13,164.34,164.75,161.65,161.95,32104756,39.0565032688376,39.1539425188085,38.4172067263453,38.4885037385192,128419024,0.0,1.0
2018-02-14,167.37,167.54,162.88,163.04,39669178,39.7766030917935,39.8170047320253,38.7095244762581,38.7475495494175,158676712,0.0,1.0
2018-02-15,172.99,173.09,169.0,169.79,50609595,41.112233786517,41.1359994572416,40.1639835246048,40.3517323233292,202438380,0.0,1.0
2018-02-16,172.43,174.82,171.77,172.36,39638793,40.9791460304592,41.5471455607775,40.8222926036767,40.9625100609519,158555172,0.0,1.0
2018-02-20,171.85,174.26,171.42,172.05,33531012,40.8413051402564,41.4140578047197,40.7391127561405,40.8888364817056,134124048,0.0,1.0
2018-02-21,171.07,174.12,171.01,172.83,35833514,40.6559329086043,41.3807858657052,40.6416735061696,41.0742087133576,143334056,0.0,1.0
2018-02-22,172.5,173.95,171.71,171.8,30504116,40.9957819999664,41.3403842254734,40.8080332012419,40.8294223048941,122016464,0.0,1.0
2018-02-23,175.5,175.65,173.54,173.67,33329232,41.7087521217049,41.7444006277919,41.2429449755024,41.2738403474444,133316928,0.0,1.0
2018-02-26,178.97,179.39,176.21,176.35,36886432,42.5334208958492,42.6332367128926,41.8774883838497,41.9107603228642,147545728,0.0,1.0
2018-02-27,178.39,180.48,178.16,179.1,38685165,42.3955800056464,42.8922825237909,42.3409189629798,42.5643162677912,154740660,0.0,1.0
2018-02-28,178.12,180.62,178.05,179.26,33604574,42.3314126946899,42.9255544628054,42.3147767251827,42.6023413409506,134418296,0.0,1.0
2018-03-01,175.0,179.78,172.66,178.54,48801970,41.5899237680818,42.7259228287186,41.0338070731258,42.4312285117333,195207880,0.0,1.0
2018-03-02,176.21,176.3,172.45,172.8,38453950,41.8774883838497,41.8988774875019,40.9838991646041,41.0670790121402,153815800,0.0,1.0
2018-03-05,176.82,177.74,174.52,175.21,28401366,42.0224589752699,42.2411031459364,41.4758485486037,41.6398316766035,113605464,0.0,1.0
2018-03-06,176.67,178.25,176.13,177.91,23788506,41.986810469183,42.3623080666319,41.85847584727,42.2815047861682,95154024,0.0,1.0
2018-03-07,175.03,175.85,174.27,174.94,31703462,41.5970534692992,41.7919319692411,41.4164343717921,41.5756643656471,126813848,0.0,1.0
2018-03-08,176.94,177.12,175.07,175.48,23163767,42.0509777801394,42.0937559874438,41.6065597375891,41.70399898756,92655068,0.0,1.0
2018-03-09,179.98,180.0,177.39,177.96,31385134,42.7734541701678,42.7782073043128,42.1579232984002,42.2933876215305,125540536,0.0,1.0
2018-03-12,181.72,182.39,180.21,180.29,32055405,43.1869768407762,43.3462068346311,42.8281152128345,42.8471277494141,128221620,0.0,1.0
2018-03-13,179.97,183.5,179.24,182.59,31168404,42.7710776030954,43.6100057796744,42.5975882068057,43.3937381760804,124673616,0.0,1.0
2018-03-14,178.44,180.52,177.81,180.32,29075469,42.4074628410087,42.9017887920808,42.2577391154436,42.8542574506315,116301876,0.0,1.0
2018-03-15,178.65,180.24,178.07,178.5,22584565,42.4573707495304,42.8352449140518,42.3195298593276,42.4217222434435,90338260,0.0,1.0
2018-03-16,178.02,179.12,177.62,178.65,36836456,42.3076470239653,42.5690694019361,42.2125843410668,42.4573707495304,147345824,0.0,1.0
2018-03-19,175.3,177.47,173.66,177.32,32804695,41.6612207802557,42.1769358349799,41.271463780372,42.141287328893,131218780,0.0,1.0
2018-03-20,175.24,176.8,174.94,175.24,19314039,41.6469613778209,42.017705841125,41.5756643656471,41.6469613778209,77256156,0.0,1.0
2018-03-21,171.27,175.09,171.26,175.04,35247358,40.7034642500536,41.611312871734,40.7010876829811,41.5994300363717,140989432,0.0,1.0
2018-03-22,168.85,172.68,168.6,170.0,41051076,40.1283350185178,41.0385602072707,40.0689208417063,40.4016402318509,164204304,0.0,1.0
2018-03-23,164.94,169.92,164.94,168.39,40248954,39.1990972931853,40.3826276952712,39.1990972931853,40.0190129331846,160995816,0.0,1.0
2018-03-26,172.77,173.1,166.44,168.07,36272617,41.0599493109229,41.1383760243141,39.5555823540545,39.9429627868658,145090468,0.0,1.0
2018-03-27,168.34,175.15,166.92,173.68,38962839,40.0071300978223,41.6255722741688,39.6696575735327,41.2762169145169,155851356,0.0,1.0
2018-03-28,166.48,170.02,165.19,167.25,41668545,39.5650886223444,40.4063933659959,39.2585114699968,39.7480842869239,166674180,0.0,1.0
2018-03-29,167.78,171.75,166.9,167.81,38398505,39.8740423417644,40.8175394695318,39.6649044393878,39.8811720429818,153594020,0.0,1.0
2018-04-02,166.68,168.94,164.47,166.64,37586791,39.6126199637936,40.14972412217,39.0873986407796,39.6031136955038,150347164,0.0,1.0
2018-04-03,168.39,168.75,164.88,167.64,30278046,40.0190129331846,40.1045693477932,39.1848378907505,39.8407704027499,121112184,0.0,1.0
2018-04-04,171.61,172.01,164.77,164.88,34605489,40.7842675305173,40.8793302134158,39.1586956529534,39.1848378907505,138421956,0.0,1.0
2018-04-05,172.8,174.23,172.08,172.58,26933197,41.0670790121402,41.4069281035023,40.895966182923,41.0147945365461,107732788,0.0,1.0
2018-04-06,168.38,172.48,168.2,170.97,35005290,40.0166363661121,40.9910288658215,39.9738581588078,40.6321672378797,140021160,0.0,1.0
2018-04-09,170.05,173.09,169.85,169.88,29017718,40.4135230672132,41.1359994572416,40.365991725764,40.3731214269814,116070872,0.0,1.0
2018-04-10,173.25,174.0,171.53,173.0,28614241,41.174024530401,41.3522670608357,40.7652549939376,41.1146103535895,114456964,0.0,1.0
2018-04-11,172.44,173.92,171.7,172.23,22431640,40.9815225975316,41.333254524256,40.8056566341694,40.9316146890099,89726560,0.0,1.0
2018-04-12,174.14,175.0,173.04,173.41,22889285,41.3855389998501,41.5899237680818,41.1241166218793,41.2120496035604,91557140,0.0,1.0
2018-04-13,174.73,175.84,173.85,174.78,25124255,41.5257564571254,41.7895554021686,41.3166185547487,41.5376392924877,100497020,0.0,1.0
2018-04-16,175.82,176.19,174.83,175.03,21578420,41.7848022680237,41.8727352497048,41.54952212785,41.5970534692992,86313680,0.0,1.0
2018-04-17,178.24,178.94,176.41,176.49,26605442,42.3599314995595,42.5262911946318,41.925019725299,41.9440322618787,106421768,0.0,1.0
2018-04-18,177.84,178.82,176.88,177.81,20754538,42.264868816661,42.4977723897623,42.0367183777047,42.2577391154436,83018152,0.0,1.0
2018-04-19,172.8,175.39,172.66,173.76,34808800,41.0670790121402,41.6826098839079,41.0338070731258,41.2952294510966,139235200,0.0,1.0
2018-04-20,165.72,171.22,165.43,170.6,65491140,39.3844695248373,40.6915814146913,39.3155490797359,40.5442342561986,261964560,0.0,1.0
2018-04-23,165.24,166.92,164.09,166.83,36515477,39.2703943053591,39.6696575735327,38.997089092026,39.6482684698805,146061908,0.0,1.0
2018-04-24,162.94,166.33,161.22,165.67,33692017,38.7237838786929,39.5294401162575,38.3150143422295,39.372586689475,134768068,0.0,1.0
2018-04-25,163.65,165.42,162.41,162.62,28382084,38.8925201408377,39.3131725126634,38.5978258238524,38.6477337323741,113528336,0.0,1.0
2018-04-26,164.22,165.73,163.37,164.12,27963014,39.027984463968,39.3868460919097,38.8259762628088,39.0042187932434,111852056,0.0,1.0
2018-04-27,162.32,164.33,160.63,164.0,35655839,38.5764367202003,39.0541267017651,38.1747968849542,38.9756999883738,142623356,0.0,1.0
2018-04-30,165.26,167.26,161.84,162.13,42427424,39.275147439504,39.7504608539964,38.4623615007221,38.5312819458235,169709696,0.0,1.0
2018-05-01,169.1,169.2,165.27,166.41,53569376,40.1877491953294,40.211514866054,39.2775240065765,39.5484526528371,214277504,0.0,1.0
2018-05-02,176.57,177.75,173.8,175.23,66539371,41.9630447984584,42.2434797130088,41.3047357193864,41.6445848107485,266157484,0.0,1.0
2018-05-03,176.89,177.5,174.44,175.88,34068180,42.0390949447771,42.1840655361973,41.456836012024,41.7990616704585,136272720,0.0,1.0
2018-05-04,183.83,184.25,178.17,178.25,56201317,43.6884324930656,43.788248310109,42.3432955300522,42.3623080666319,224805268,0.0,1.0
2018-05-07,185.16,187.67,184.75,185.18,42451423,44.0045159137031,44.601034248891,43.9070766637321,44.009269047848,169805692,0.0,1.0
2018-05-08,186.05,186.22,183.67,184.99,28402777,44.2160303831522,44.256432023384,43.6504074199062,43.9641142734712,113611108,0.0,1.0
2018-05-09,187.36,187.4,185.22,186.55,23211241,44.5273606696447,44.5368669379345,44.0187753161378,44.3348587367753,92844964,0.0,1.0
2018-05-10,190.04,190.37,187.65,187.74,27989289,45.1642806450644,45.2427073584557,44.596281114746,44.6176702183982,111957156,0.0,1.0
2018-05-11,188.59,190.06,187.45,189.49,26212221,44.9931678158472,45.3438754710213,44.7211904506101,45.2078867884028,104848884,0.73,1.0
